date/time,link,type,status
Fri Jun 08 13:47:09 2018,https://github.com/eclipse/mita/issues/129,issue,open
Wed Jun 06 12:23:31 2018,https://github.com/eclipse/mita/issues/122,issue,closed
Wed Jun 06 12:28:37 2018,https://github.com/eclipse/mita/issues/122,comment,NA
Thu Jun 07 06:46:18 2018,https://github.com/eclipse/mita/issues/122,comment,NA
Mon Jun 04 12:30:14 2018,https://github.com/eclipse/mita/issues/117,issue,closed
Wed Jun 06 12:19:54 2018,https://github.com/eclipse/mita/issues/117,comment,NA
Thu May 24 08:47:51 2018,https://github.com/eclipse/mita/issues/85,issue,open
Mon May 14 13:39:23 2018,https://github.com/eclipse/mita/issues/61,issue,closed
Fri May 18 07:00:29 2018,https://github.com/eclipse/mita/issues/61,comment,NA
