date/time,link,type,status
Wed Mar 14 11:32:04 2018,https://github.com/eclipse/reddeer/issues/1906,issue,closed
Thu Mar 15 11:27:58 2018,https://github.com/eclipse/reddeer/issues/1906,comment,NA
Fri Mar 16 08:21:17 2018,https://github.com/eclipse/reddeer/issues/1906,comment,NA
Fri Mar 16 11:28:51 2018,https://github.com/eclipse/reddeer/issues/1906,comment,NA
Tue Mar 13 09:07:55 2018,https://github.com/eclipse/reddeer/issues/1905,issue,closed
Tue Mar 13 13:25:49 2018,https://github.com/eclipse/reddeer/issues/1905,comment,NA
Wed Mar 14 12:03:20 2018,https://github.com/eclipse/reddeer/issues/1905,comment,NA
Thu Mar 15 09:52:29 2018,https://github.com/eclipse/reddeer/issues/1905,comment,NA
Thu Mar 15 11:35:45 2018,https://github.com/eclipse/reddeer/issues/1905,comment,NA
Thu Mar 15 14:07:13 2018,https://github.com/eclipse/reddeer/issues/1905,comment,NA
Mon Mar 19 09:34:35 2018,https://github.com/eclipse/reddeer/issues/1905,comment,NA
Tue Mar 13 09:21:06 2018,https://github.com/eclipse/reddeer/issues/1835,comment,NA
