date/time,link,type,status
Fri Dec 15 15:46:12 2017,https://github.com/eclipse-vertx/vert.x/issues/2240,issue,closed
Fri Dec 15 09:08:59 2017,https://github.com/eclipse-vertx/vert.x/issues/2140,comment,NA
