date/time,link,type,status
Fri May 04 15:36:22 2018,https://github.com/eclipse/n4js/issues/784,issue,closed
Thu May 03 15:19:56 2018,https://github.com/eclipse/n4js/issues/781,issue,closed
Fri May 04 11:19:31 2018,https://github.com/eclipse/n4js/issues/781,comment,NA
Fri Apr 27 07:46:21 2018,https://github.com/eclipse/n4js/issues/770,issue,closed
Fri Apr 27 07:11:00 2018,https://github.com/eclipse/n4js/issues/769,issue,closed
Fri Apr 27 07:20:08 2018,https://github.com/eclipse/n4js/issues/769,comment,NA
Fri Apr 27 08:05:58 2018,https://github.com/eclipse/n4js/issues/769,comment,NA
Mon Apr 23 15:32:43 2018,https://github.com/eclipse/n4js/issues/757,issue,closed
Mon Apr 23 11:31:55 2018,https://github.com/eclipse/n4js/issues/755,issue,closed
Fri Apr 13 14:46:37 2018,https://github.com/eclipse/n4js/issues/734,issue,closed
Fri Apr 13 14:42:47 2018,https://github.com/eclipse/n4js/issues/733,issue,open
Fri Apr 13 09:04:29 2018,https://github.com/eclipse/n4js/issues/730,issue,closed
Mon Apr 23 09:18:34 2018,https://github.com/eclipse/n4js/issues/714,comment,NA
Mon Apr 23 14:28:43 2018,https://github.com/eclipse/n4js/issues/703,comment,NA
