date/time,link,type,status
Wed Apr 25 07:47:06 2018,https://github.com/eclipse-ee4j/yasson/issues/116,issue,closed
Sat Apr 28 15:54:49 2018,https://github.com/eclipse-ee4j/yasson/issues/26,comment,NA
