date/time,link,type,status
Fri Mar 23 15:39:43 2018,https://github.com/eclipse-efx/efxclipse-eclipse/issues/33,issue,closed
Fri Mar 23 14:37:13 2018,https://github.com/eclipse-efx/efxclipse-eclipse/issues/32,issue,closed
