date/time,link,type,status
Mon Feb 19 17:03:18 2018,https://github.com/eclipse-che/che-ls-jdt/issues/37,comment,NA
Fri Feb 16 15:31:33 2018,https://github.com/eclipse-che/che-ls-jdt/issues/36,issue,closed
