date/time,link,type,status
Thu Apr 05 18:25:43 2018,https://github.com/adoptium/aqa-systemtest/issues/99,issue,closed
Tue Apr 10 14:37:28 2018,https://github.com/adoptium/aqa-systemtest/issues/99,comment,NA
Thu Mar 29 18:05:10 2018,https://github.com/adoptium/aqa-systemtest/issues/94,issue,open
Mon Mar 26 16:49:22 2018,https://github.com/adoptium/aqa-systemtest/issues/90,issue,closed
Thu Mar 22 15:57:16 2018,https://github.com/adoptium/aqa-systemtest/issues/89,issue,closed
Wed Mar 28 18:52:09 2018,https://github.com/adoptium/aqa-systemtest/issues/89,comment,NA
Thu Mar 29 18:05:45 2018,https://github.com/adoptium/aqa-systemtest/issues/89,comment,NA
Wed Mar 21 20:22:23 2018,https://github.com/adoptium/aqa-systemtest/issues/88,issue,closed
Wed Mar 21 20:25:31 2018,https://github.com/adoptium/aqa-systemtest/issues/88,comment,NA
Thu Mar 22 16:02:18 2018,https://github.com/adoptium/aqa-systemtest/issues/88,comment,NA
Thu Mar 22 16:30:03 2018,https://github.com/adoptium/aqa-systemtest/issues/88,comment,NA
Thu Mar 22 17:44:04 2018,https://github.com/adoptium/aqa-systemtest/issues/88,comment,NA
Fri Mar 23 16:45:33 2018,https://github.com/adoptium/aqa-systemtest/issues/88,comment,NA
Thu Mar 15 19:15:28 2018,https://github.com/adoptium/aqa-systemtest/issues/87,issue,closed
Thu Mar 15 19:28:21 2018,https://github.com/adoptium/aqa-systemtest/issues/87,comment,NA
Tue Mar 13 20:18:10 2018,https://github.com/adoptium/aqa-systemtest/issues/86,issue,closed
Tue Mar 13 15:02:21 2018,https://github.com/adoptium/aqa-systemtest/issues/85,issue,closed
Mon Mar 12 18:10:27 2018,https://github.com/adoptium/aqa-systemtest/issues/84,issue,closed
Mon Mar 12 18:11:31 2018,https://github.com/adoptium/aqa-systemtest/issues/84,comment,NA
Mon Mar 12 18:20:33 2018,https://github.com/adoptium/aqa-systemtest/issues/84,comment,NA
Thu Mar 22 15:07:23 2018,https://github.com/adoptium/aqa-systemtest/issues/79,comment,NA
Wed Mar 21 16:19:00 2018,https://github.com/adoptium/aqa-systemtest/issues/76,comment,NA
